"","Dest","Origin","total_flights_per_route","arr_delay_count","arr_delay_10_count","avg_arr_delay","dep_delay_count","dep_delay_10_count","avg_dep_delay","year","o_lat","o_long","d_lat","d_long"
"1","ABQ","SEA",708,301,145,19.624584717608,432,173,16.7685185185185,2008,47.44898194,-122.3093131,35.04022222,-106.6091944
"2","ABQ","SFO",529,328,220,41.4725609756098,270,212,49.4296296296296,2008,37.61900194,-122.3748433,35.04022222,-106.6091944
"3","ABQ","DEN",4309,1904,1052,26.094537815126,1735,951,26.4864553314121,2008,39.85840806,-104.6670019,35.04022222,-106.6091944
"4","ABQ","CLE",12,7,4,29.2857142857143,3,3,53.3333333333333,2008,41.41089417,-81.84939667,35.04022222,-106.6091944
"5","ABQ","ATL",1064,600,363,27.9033333333333,479,273,28.1189979123173,2008,33.64044444,-84.42694444,35.04022222,-106.6091944
"6","ABQ","MSP",677,340,208,23.7264705882353,251,126,21.3386454183267,2008,44.88054694,-93.2169225,35.04022222,-106.6091944
"7","ABQ","ORD",754,432,306,46.1805555555556,346,245,47.1387283236994,2008,41.979595,-87.90446417,35.04022222,-106.6091944
"8","ABQ","STL",366,161,95,28.223602484472,219,114,23.4246575342466,2008,38.74768694,-90.35998972,35.04022222,-106.6091944
"9","ABQ","CVG",260,112,58,24.6785714285714,79,36,27.9873417721519,2008,39.04614278,-84.6621725,35.04022222,-106.6091944
"10","ABQ","PHX",5234,1991,940,20.6363636363636,2334,1008,18.9318766066838,2008,33.43416667,-112.0080556,35.04022222,-106.6091944
"11","ABQ","DAL",3106,1413,756,24.1096956829441,1935,832,19.5514211886305,2008,32.84711389,-96.85177222,35.04022222,-106.6091944
"12","ABQ","TPA",366,171,105,27.1637426900585,216,108,23.9768518518519,2008,27.97547222,-82.53325,35.04022222,-106.6091944
"13","ABQ","SAN",1054,346,207,25.7543352601156,519,256,22.2369942196532,2008,32.73355611,-117.1896567,35.04022222,-106.6091944
"14","ABQ","AUS",435,187,84,20.3529411764706,132,71,26.2651515151515,2008,30.19453278,-97.66987194,35.04022222,-106.6091944
"15","ABQ","PDX",366,93,44,19.4086021505376,174,57,13.7816091954023,2008,45.58872222,-122.5975,35.04022222,-106.6091944
"16","ABQ","MDW",730,253,170,38.304347826087,347,168,27.6599423631124,2008,41.7859825,-87.75242444,35.04022222,-106.6091944
"17","ABQ","MCI",670,270,154,28.2592592592593,345,160,22.9246376811594,2008,39.29760528,-94.71390556,35.04022222,-106.6091944
"18","ABQ","BWI",549,239,156,24.8577405857741,343,174,18.4548104956268,2008,39.17540167,-76.66819833,35.04022222,-106.6091944
"19","ABQ","DFW",2888,1530,900,27.2601307189542,1343,756,27.7066269545793,2008,32.89595056,-97.0372,35.04022222,-106.6091944
"20","ABQ","SMF",466,179,89,24.463687150838,178,103,26.938202247191,2008,38.69542167,-121.5907669,35.04022222,-106.6091944
"21","ABQ","OAK",1004,343,176,21.7667638483965,579,230,16.5129533678756,2008,37.72129083,-122.2207167,35.04022222,-106.6091944
"22","ABQ","EWR",166,116,107,80.1465517241379,111,90,73.7657657657658,2008,40.69249722,-74.16866056,35.04022222,-106.6091944
"23","ABQ","LAX",2415,947,505,23.6546990496304,1146,562,22.282722513089,2008,33.94253611,-118.4080744,35.04022222,-106.6091944
"24","ABQ","SLC",2293,753,373,20.8406374501992,807,358,19.2428748451053,2008,40.78838778,-111.9777731,35.04022222,-106.6091944
"25","ABQ","IAD",365,168,104,36.1845238095238,138,73,27.5579710144928,2008,38.94453194,-77.45580972,35.04022222,-106.6091944
"26","ABQ","LAS",2408,879,536,28.3333333333333,1229,656,24.0569568755085,2008,36.08036111,-115.1523333,35.04022222,-106.6091944
"27","ABQ","SAT",426,146,64,21.0342465753425,125,60,23.712,2008,29.53369444,-98.46977778,35.04022222,-106.6091944
"28","ABQ","HOU",1023,499,314,29.0300601202405,627,346,24.9457735247209,2008,29.64541861,-95.27888889,35.04022222,-106.6091944
"29","ABQ","IAH",2261,1145,621,25.5213973799127,901,437,25.2563817980022,2008,29.98047222,-95.33972222,35.04022222,-106.6091944
"30","ABQ","MCO",726,268,133,18.5298507462687,392,159,14.0255102040816,2008,28.42888889,-81.31602778,35.04022222,-106.6091944
"31","ATL","ABQ",1067,367,187,26.283378746594,254,139,32.1496062992126,2008,35.04022222,-106.6091944,33.64044444,-84.42694444
